
# Efinity Pinout Report
# Version: 2019.3.272
# Date: 2020-02-01 21:48

# Copyright (C) 2017 - 2019 Efinix Inc. All rights reserved.

# Device: T20F256
# Package status: final
# Project: Mcst2MIIDebug
# Configuration mode: active (x1)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Standard,Pull Type,Function
R1,CDONE,,Output,1A,3.3 V LVTTL / LVCMOS,,Configuration
P1,CRESET_N,,Input,1A,3.3 V LVTTL / LVCMOS,,Configuration
A1,GND,,Power,,,,Ground
A5,GND,,Power,,,,Ground
A12,GND,,Power,,,,Ground
A16,GND,,Power,,,,Ground
D2,GND,,Power,,,,Ground
D15,GND,,Power,,,,Ground
G7,GND,,Power,,,,Ground
G8,GND,,Power,,,,Ground
G9,GND,,Power,,,,Ground
G10,GND,,Power,,,,Ground
H8,GND,,Power,,,,Ground
H9,GND,,Power,,,,Ground
H10,GND,,Power,,,,Ground
H11,GND,,Power,,,,Ground
J1,GND,,Power,,,,Ground
J8,GND,,Power,,,,Ground
J9,GND,,Power,,,,Ground
J16,GND,,Power,,,,Ground
K7,GND,,Power,,,,Ground
K8,GND,,Power,,,,Ground
K10,GND,,Power,,,,Ground
L8,GND,,Power,,,,Ground
L9,GND,,Power,,,,Ground
N2,GND,,Power,,,,Ground
N15,GND,,Power,,,,Ground
R7,GND,,Power,,,,Ground
R10,GND,,Power,,,,Ground
T1,GND,,Power,,,,Ground
T4,GND,,Power,,,,Ground
T13,GND,,Power,,,,Ground
T16,GND,,Power,,,,Ground
M13,GPIOB_CLKN0,LvdsClkIn.RXN,Input,4A,,,User IO/LVDS_REFCLK
M12,GPIOB_CLKP0,LvdsClkIn.RXP,Input,4A,,,User IO/LVDS_REFCLK
R9,GPIOB_RXN00,,,4A,,,User IO
M9,GPIOB_RXN01,,,4A,,,User IO
T10,GPIOB_RXN02,,,4A,,,User IO
N10,GPIOB_RXN03,,,4A,,,User IO
R11,GPIOB_RXN04,,,4A,,,User IO
M11,GPIOB_RXN05,,,4A,,,User IO
P11,GPIOB_RXN06,,,4A,,,User IO
R12,GPIOB_RXN07,DataLvdsIn.RXN,Input,4A,,,User IO
P13,GPIOB_RXN08,,,4A,,,User IO
R14,GPIOB_RXN09,,,4A,,,User IO
N12,GPIOB_RXN10,,,4A,,,User IO
R15,GPIOB_RXN11,,,4A,,,User IO
N13,GPIOB_RXN12_EXTFB0,,,4A,,,User IO/LVDS_EXTFB
P9,GPIOB_RXP00,,,4A,,,User IO
